Event_ID,Event_Date,Company_ID,Student_ID,Job_ID,Event_Type,Skill,Region,Experience_Years,Job_Openings,Application_Status,Processing_Time_Hours,Search_Time_Seconds,Consent_Status
E00001,2025-01-01 00:00:00.000,Company_052,Student_0186,J0031,Student Applied,Tableau,West,1,10,Shortlisted,23.4,1.51,Yes
E00002,2025-01-01 07:12:43.272,Company_015,Student_0060,J0122,Student Applied,Tableau,Central,2,1,Pending,5.0,4.84,Yes
E00003,2025-01-01 14:25:26.544,Company_072,Student_0178,J0137,Company Posted,Sql,East,3,2,Applied,55.4,5.26,Yes
E00004,2025-01-01 21:38:09.816,Company_061,Student_0028,J0051,Company Shortlisted,Tableau,West,5,7,Applied,50.8,0.96,Yes
E00005,2025-01-02 04:50:53.088,Company_021,Student_0220,J0029,Company Shortlisted,Power Bi,South,0,10,Applied,24.5,3.65,No
E00006,2025-01-02 12:03:36.361,Company_075,Student_0101,J0206,Student Applied,Python,Unknown,0,2,Applied,49.0,11.49,Yes
E00007,2025-01-02 19:16:19.633,Company_075,Student_0041,J0040,Company Shortlisted,Excel,East,2,6,Pending,29.1,11.47,Yes
E00008,2025-01-03 02:29:02.905,Company_024,Student_0228,J0041,Company Posted,Python,North,1,3,Shortlisted,54.7,4.55,Yes
E00009,2025-01-03 09:41:46.177,Company_003,Student_0192,J0214,Company Posted,Tableau,North,3,4,Shortlisted,33.2,1.0,Yes
E00010,2025-01-03 16:54:29.449,Company_022,Student_0155,J0011,Student Applied,Power Bi,North,1,8,Rejected,30.3,2.56,Yes
E00011,2025-01-04 00:07:12.721,Company_053,Student_0246,J0151,Company Posted,Marketing,South,0,3,Applied,67.4,5.01,Yes
E00012,2025-01-04 07:19:55.993,Company_002,Student_0191,J0001,Company Shortlisted,Tableau,North,1,10,Shortlisted,18.8,11.4,No
E00013,2025-01-04 14:32:39.265,Company_030,Student_0145,J0046,Company Shortlisted,Power Bi,Central,0,6,Shortlisted,9.6,2.12,Yes
E00014,2025-01-04 21:45:22.538,Company_038,Student_0201,J0101,Student Applied,Sql,West,1,1,Shortlisted,42.5,9.28,Yes
E00015,2025-01-05 04:58:05.810,Company_002,Student_0161,J0149,Company Posted,Power Bi,South,2,7,Pending,69.8,1.75,Yes
E00016,2025-01-05 12:10:49.082,Company_064,Student_0245,J0090,Company Posted,Sql,East,4,8,Rejected,27.8,11.78,Yes
E00017,2025-01-05 19:23:32.354,Company_060,Student_0212,J0110,Student Applied,Finance,East,2,8,Applied,5.4,4.89,Yes
E00018,2025-01-06 02:36:15.626,Company_021,Student_0205,J0164,Company Shortlisted,Excel,West,2,3,Rejected,25.1,9.42,Yes
E00019,2025-01-06 09:48:58.898,Company_033,Student_0220,J0182,Student Applied,Data Analysis,South,4,10,Applied,36.9,4.44,Yes
E00020,2025-01-06 17:01:42.170,Company_076,Student_0240,J0215,Company Posted,Power Bi,North,4,1,Applied,12.5,7.72,Yes
E00021,2025-01-07 00:14:25.442,Company_058,Student_0157,J0057,Student Applied,Java,North,3,9,Applied,47.7,2.71,No
E00022,2025-01-07 07:27:08.715,Company_022,Student_0141,J0001,Student Applied,Tableau,Central,3,6,Applied,71.8,2.18,Yes
E00023,2025-01-07 14:39:51.987,Company_049,Student_0046,J0063,Company Shortlisted,Python,Central,2,9,Shortlisted,33.1,11.29,No
